i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1229	32903.141519	18	4	1.250000	+	e	X1Sigma+	21	0	0	0	Ca	32903.141519
1230	32903.376837	78	19	4.650000	-	e	X1Sigma+	17	0	0	0	Ca	32903.376837
1231	32908.548843	38	9	1.900000	-	e	X1Sigma+	20	0	0	0	Ca	32908.548843
1232	32909.009578	198	49	24.700000	-	e	X1Sigma+	4	0	0	0	Ca	32909.009578
1233	32910.030514	114	28	8.320000	-	f	A1Pi	2	1	0	1	Ca	32910.030514
1234	32911.999697	90	22	5.860000	+	e	X1Sigma+	16	0	0	0	Ca	32911.999697
1235	32915.266352	22	5	1.350000	-	e	X1Sigma+	21	0	0	0	Ca	32915.266352
1236	32915.778319	66	16	3.620000	+	e	X1Sigma+	18	0	0	0	Ca	32915.778319
1237	32916.642695	22	5	1.400000	+	f	A1Pi	11	1	0	1	Ca	32916.642695
1238	32916.924761	22	5	1.400000	-	e	A1Pi	11	1	0	1	Ca	32916.924761
1239	32925.200995	122	30	9.950000	+	e	X1Sigma+	13	0	0	0	Ca	32925.200995
1240	32926.229441	74	18	4.120000	-	f	A1Pi	7	1	0	1	Ca	32926.229441
1241	32928.783986	26	6	1.470000	+	e	X1Sigma+	21	0	0	0	Ca	32928.783986
1242	32931.749270	54	13	2.770000	-	e	X1Sigma+	19	0	0	0	Ca	32931.749270
1243	32932.963051	2	0	1.100000	+	e	X1Sigma+	22	0	0	0	Ca	32932.963051
1244	32934.376569	6	1	1.120000	-	e	X1Sigma+	22	0	0	0	Ca	32934.376569
1245	32934.378326	74	18	4.120000	+	e	A1Pi	7	1	0	1	Ca	32934.378326
1246	32935.349665	150	37	14.560000	-	e	X1Sigma+	10	0	0	0	Ca	32935.349665
1247	32935.554984	114	28	8.320000	+	e	A1Pi	2	1	0	1	Ca	32935.554984
1248	32937.116151	10	2	1.160000	+	e	X1Sigma+	22	0	0	0	Ca	32937.116151
1249	32938.530660	26	6	1.520000	-	f	A1Pi	11	1	0	1	Ca	32938.530660
1250	32938.925553	26	6	1.520000	+	e	A1Pi	11	1	0	1	Ca	32938.925553
1251	32940.451334	42	10	2.100000	+	e	X1Sigma+	20	0	0	0	Ca	32940.451334
1252	32940.997176	14	3	1.220000	-	e	X1Sigma+	22	0	0	0	Ca	32940.997176
1253	32941.464324	54	13	2.720000	+	f	A1Pi	9	1	0	1	Ca	32941.464324
1254	32942.991807	30	7	1.610000	-	e	X1Sigma+	21	0	0	0	Ca	32942.991807
1255	32943.086239	42	10	2.100000	-	f	A1Pi	10	1	0	1	Ca	32943.086239
1256	32944.646903	42	10	2.100000	+	e	A1Pi	10	1	0	1	Ca	32944.646903
1257	32944.801121	54	13	2.720000	-	e	A1Pi	9	1	0	1	Ca	32944.801121
1258	32945.708950	18	4	1.300000	+	e	X1Sigma+	22	0	0	0	Ca	32945.708950
1259	32948.713160	2	0	1.150000	+	e	X1Sigma+	23	0	0	0	Ca	32948.713160
1260	32949.229611	6	1	1.170000	-	e	X1Sigma+	23	0	0	0	Ca	32949.229611
1261	32950.147752	10	2	1.210000	+	e	X1Sigma+	23	0	0	0	Ca	32950.147752
1262	32950.711670	22	5	1.400000	-	e	X1Sigma+	22	0	0	0	Ca	32950.711670
1263	32950.886922	2	0	1.200000	+	e	X1Sigma+	24	0	0	0	Ca	32950.886922
1264	32951.143747	14	3	1.270000	-	e	X1Sigma+	23	0	0	0	Ca	32951.143747
1265	32956.705119	34	8	1.770000	+	e	X1Sigma+	21	0	0	0	Ca	32956.705119
1266	32959.662399	102	25	7.250000	-	e	X1Sigma+	15	0	0	0	Ca	32959.662399
